project_id,title,description,operating_unit,budget,expense
95469,Climate resilience in Agriculture,Strengthening climate resilience of agricultural livelihoods in agro-ecological zones I & II,Zambia,6688911,1520365
88154,Renforcement des capacités nationales pour une mise œuvre effective du Cadre de Coopération du PNUD au Mali pour la période 2015-2019,Renforcement des capacités nationales pour une mise en œuvre effective du Cadre de Coopération du PNUD au Mali  pour la période 2015-2019,Mali,6663953,976527
57445,Integrated Water Management,"The Project will strengthen the resilience of vulnerable smallholder farmers in the country’s Dry Zone, particularly women, who are facing increasing risks of rising temperatures, erratic rainfall, and extreme events attributable to climate change.",Sri Lanka,6599394,2894193
109805,Health procurement 2019-2020,Sustaining quality health services for the people of Turkmenistan through procurement of medical products for the Ministry of Health and Medical Industry of Turkmenistan,Turkmenistan,6589722,3371231
109527,Sostenibilidad de la Respuesta al VIH en Cuba,"Sostenibilidad de la Respuesta al VIH en la Republica de Cuba-
Programas de prevención para poblaciones clave, satención y tratamiento de Personas que Viven con VIH y actividades para fortalecer la sostenibilidad del sistema de salud.",Cuba,6542541,2652533
42831,construct 300 housing units in Rafah,"Construction of 302 residential units for 302 families in Rafah city.
For the SFD Project, it aims to repair 12,357 affected houses, 3 non-refugee schools, reconstruction 837  houses and six sport clubs and a cultural centre",Prog for Palestinian People,6514001,5102376
89167,Township Democratic Local Governance Project,"Township Democratic Local Governance project (TDLG) addresses the institutional challenges in local governance structures, emphasizing participatory annual planning and discretionary funding at the township level.",Myanmar,6488859,3964664
106770,Enhanced Rural Resilience in Yemen II,"The Supporting Resilient Livelihoods and Food Security in Yemen Joint Programme (ERRY II), aims to contribute to reduce vulnerability and strengthen resilience of crisis-affected communities.",Yemen,6449942,3420205
82654,Valorisation durable des ksour et kasbah - PVD2K,Programme d’accompagnement pour la valorisation durable des ksour et kasbah du Maroc (PVD2K),Morocco,6340568,5074649
40048,"Prevention & control of HIV/AIDS, Malaria, TB in IR Iran","The prevention and control of HIV/AIDS, Malaria and Tuberculosis in I. R. Iran through public, civil society and private partnership - Global Funds for AIDS, Tuberculosis and Malaria (GFATM)","Iran, Islamic Republic of",6261612,2038923
104456,Support to Effective & Responsive Institutions (SERIP),This project aims to strengthen the effectiveness of state executive and legislative institutions in understanding the needs and aspirations of the Myanmar people.,Myanmar,6260514,3012097
102496,Ensuring climate resilient water Comoros -PIMS-5740-GCF,Strengthening Comoros capacity to secure a sustainable and climate resilient water supply system.,Comoros,6256107,1440089
115998,Recovery and Resilience,"Six thousand young people will benefit from vocational, entrepreneurship, market-linked and soft skills training, provision of small and micro enterprise start-up kits.","South Sudan, Republic of",6230874,5009782
111561,Ethiopia Engagement Facility,"The Engagement Facility contributes to upstream policy results, strategic studies, high level special events and innovations",Ethiopia,6193923,451927
69985,ICT for Comprehensive Community Development,"Utilizing the developed resources, the gained experience and the learnt lessons the new ICT-TF project “ICT for Comprehensive Community Development (ICT4CCD)” will strengthen the impacts of the comprehensive development on citizens’ lives using ICTs.",Egypt,6163403,239875
124739,SIDA UNDP Strategic Collaboration on Env and CC,SIDA UNDP Strategic Collaboration on Env and CC,Bureau Policy & Prog Support,6132492,1409290
106462,Strengthen the national health procurement system of Angola,"The project aims to strengthen the national HIV procurement and supply management system by ensuring adequate and uninterrupted coverage of Government-funded HIV products, using UNDP procurement services.",Angola,6100792,3632339
81886,Support Oversight of the Regional Programme for Africa,This project has been developed to facilitate a robust roll out and strengthened oversight of the Regional Programme for Africa Document (RPD) 2018-2021,Regional Center - Addis Ababa,6089308,3061413
83709,Apoyo al Programa de Reformas del MINGOB,"Asistencia técnica y administrativa al Ministerio de Gobierno para el fortalecimiento de la democracia y el Estado de derecho, consignadas en el Plan de Gobierno electoral y el Plan Estratégico de Gobierno.",Panama,6046462,1356698
128558,Catalytic Support to MOIA Project (CSM),This Project supports the general approach through key interventions through catalytic interventions to support reform within the MOIA and Afghan National Police (ANP). (1) PERS (2) Policewomen’s Training SIVAS (3) DM Support Construction,Afghanistan,5963328,44724
92241,INSTITUTIONAL EFFECTIVENESS PROGRAMME,"Programme will  focus on  i)  public sector policies & legal/regulatory frameworks for effective public sector management;  ii) institutional transparency, accountability iii) Non-state Actor engagement  to demand for accountability &transparency.",Uganda,5922507,2452227
103024,Governance and Democratic Participation Programme,"This is a five-year, multi-stakeholder programme that aims to support the country sustain efforts towards strengthening institutional capacities and frameworks for strengthening good governance and deepening democratic participation.",Ethiopia,5857689,2146836
125289,Stabilisation Lac Tchad - Niger,"Ce projet décrit le Guichet du Niger de la Facilité régionale de stabilisation de la région du Lac Tchad dont l'objectif est de soutenir les interventions de stabilisation dans la région de Diffa (départments de Diffa, Bosso, Mainé Soroa et N'Guigmi)",Niger,5853768,2205968
124498,Appui aux Elections en CI,"Projet d’Appui aux Élections en CI. Les actions proposées par le projet ont pour finalité de permettre une conduite efficace, efficiente et pérenne d’un processus électoral libre, transparent, crédible et inclusif.",Côte d’Ivoire,5851640,3686765
122363,2KEN DEVOLUTION JOINT PROJECT,The project aims to strengthen Kenya’s devolution process in order to improve service delivery at the county level while bringing governance closer to the people,Kenya,5838931,2792625
87773,Sudan Stablization & Reintegration Programme,"As follow-up to Sudan DDR Programme, this multi sector programme is developed to achieve peace and stability through community security, stabilization and reintegration, in the transitional areas.","Sudan, Republic of the",5830897,3758866
77492,Eficiencia y Calidad Formacion Docente,El objetivo principal de este proyecto es contribuir al desarrollo y la mejora de la calidad de la formación docente en el sistema educativo dominicano,Dominican Republic,5800000,3833687
95226,BRA/16/004 - Support to Education &Training in Haiti,BRA/16/004 - Support to Technical and Vocational Education and Training in Haiti through the Establishment of a Vocational Training Center and Related Institutional Strengthening.,Brazil,5782122,2129736
113008,Agricultural Livelihoods and Rural Development,Provision of Comprehensive GBV services and Livelihood activities to women affected by the crises in Raqqa governorate,Syria,5752613,3673245
94293,GCF-Managing climate change induced water shortages,"This project aims to deliver safe and secure freshwater to 105,000 people in the islands of Maldives in the face of climate change risks",Maldives,5752450,3408868
103163,Compras y Contrataciones Ayuntamiento del Distrito Nacional,A mediano plazo se espera fortalecer la capacidad de gestión del Ayuntamiento del Distrito Nacional en sus capacidades de gestión,Dominican Republic,5750000,4237454
115890,Support to Security & Justice Sector Governance in Iraq,The Support to Security and Justice Sector Governance Project in Post- Conflict Iraq enables  Security and justice sector institutions to provide a safe and secure environment for the people of Iraq.,Iraq,5729674,3072606
99767,Funding Facility for Economic Reform- Federal,The Funding Facility for Economic Reform (FFER-Federal) is intended to support the Iraqi federal government in its efforts to ensure implementation of reforms,Iraq,5690304,253874
118359,Private Sector Recovery and Development,"UNDP Syria Country Office formulated an integrated programme supporting Micro, small and medium enterprise development and private sector engagement and growth for sustainable livelihoods and economic recovery in Syria",Syria,5672497,3454219
87198,Institutional Strnghtening for the Forest Sector Develeo,recognition of the importance of the forest sector as one of the four pillars in the Climate Resilient Green Economy strategy and having established the Ministry of Environment and Forest by Ethiopian Government,Ethiopia,5668321,2389171
106406,Fight against Malaria - NFC,To decrease mortality and morbidity related to malaria  in Guinea-Bissau through Prevention interventions and Case Management of malaria illness,Guinea-Bissau,5662864,4288344
126335,RBAP Engagement Facility,"RBAP’s Facility to support, leverage and implement global, regional and country initiatives",Reg Bureau for Asia & Pacific,5657955,452982
119216,Lake Chad Stabilization Facility,This project has been developed to provide a new approach calibrated to respond to the challenges identified in the insurgency-affected ares of the Lake Chad Basin,Regional Center - Addis Ababa,5622014,2621517
82671,Consolidación de la Gestión centralizada en Salud,"El Proyecto consolidará la gestión centralizada de los Programas y Proyectos del Ministerio de Salud de la Nación, en lo referido a la administración financiera, adquisiciones y contrataciones y monitoreo y evaluación.",Argentina,5610817,2485184
